Campaign	Ad Group	AdGroup Status	Display Network Max CPC
NEW_SKU_CAMPAIGN	BC7500WT	Paused	0.0
NEW_SKU_CAMPAIGN	BC7500YL	Paused	0.0
NEW_SKU_CAMPAIGN	BC7801RD	Paused	0.0
NEW_SKU_CAMPAIGN	BC7801YL	Paused	0.0
NEW_SKU_CAMPAIGN	BC8400	Paused	0.0
NEW_SKU_CAMPAIGN	BC8400BL	Paused	0.0
NEW_SKU_CAMPAIGN	BC8400GR	Active	0.0
NEW_SKU_CAMPAIGN	BC8995	Paused	0.0
NEW_SKU_CAMPAIGN	BC9500	Paused	0.0
NEW_SKU_CAMPAIGN	BCHAR1	Active	0.0
NEW_SKU_CAMPAIGN	BD6624	Paused	0.0
NEW_SKU_CAMPAIGN	BF7801BL	Paused	0.0
NEW_SKU_CAMPAIGN	BF7801GR	Paused	0.0
NEW_SKU_CAMPAIGN	BF8019BL	Paused	0.0
NEW_SKU_CAMPAIGN	BF8019gr	Paused	0.0
NEW_SKU_CAMPAIGN	BF8019RD	Paused	0.0
NEW_SKU_CAMPAIGN	BG0030	Paused	0.0
NEW_SKU_CAMPAIGN	BG1700	Active	0.0
NEW_SKU_CAMPAIGN	BG3050	Paused	0.0
NEW_SKU_CAMPAIGN	BG3050GR	Paused	0.0
NEW_SKU_CAMPAIGN	BG5030	Paused	0.0
NEW_SKU_CAMPAIGN	BG5030BL	Paused	0.0
NEW_SKU_CAMPAIGN	BG8050	Paused	0.0
NEW_SKU_CAMPAIGN	BG8050BL	Paused	0.0
NEW_SKU_CAMPAIGN	BG8050RD	Paused	0.0
NEW_SKU_CAMPAIGN	BG8050YL	Paused	0.0
NEW_SKU_CAMPAIGN	BJ0500	Paused	0.0
NEW_SKU_CAMPAIGN	BK0034RD	Paused	0.0
NEW_SKU_CAMPAIGN	BK0034RDBK	Paused	0.0
NEW_SKU_CAMPAIGN	BK8X70	Active	0.0
NEW_SKU_CAMPAIGN	BL1100	Paused	0.0
NEW_SKU_CAMPAIGN	BL1100BK	Paused	0.0
NEW_SKU_CAMPAIGN	BL1800	Paused	0.0
NEW_SKU_CAMPAIGN	BL4000	Paused	0.0
NEW_SKU_CAMPAIGN	BL4008	Paused	0.0
NEW_SKU_CAMPAIGN	BL7002	Paused	0.0
NEW_SKU_CAMPAIGN	BM0115	Paused	0.0
NEW_SKU_CAMPAIGN	BM0115BK	Paused	0.0
NEW_SKU_CAMPAIGN	BM0420WT	Paused	0.0
NEW_SKU_CAMPAIGN	BM0550BK	Paused	0.0
NEW_SKU_CAMPAIGN	BM1152	Paused	0.0
NEW_SKU_CAMPAIGN	BM2037	Paused	0.0
NEW_SKU_CAMPAIGN	BM3060	Active	0.0
NEW_SKU_CAMPAIGN	BN8X70	Paused	0.0
NEW_SKU_CAMPAIGN	BNC001	Active	0.0
NEW_SKU_CAMPAIGN	BO0001	Paused	0.0
NEW_SKU_CAMPAIGN	BO0120	Paused	0.0
NEW_SKU_CAMPAIGN	BO0850	Paused	0.0
NEW_SKU_CAMPAIGN	BO2700	Paused	0.0
NEW_SKU_CAMPAIGN	BO2700SL	Paused	0.0
NEW_SKU_CAMPAIGN	BO7008	Paused	0.0
NEW_SKU_CAMPAIGN	BP0608	Paused	0.0
NEW_SKU_CAMPAIGN	BP0805	Paused	0.0
NEW_SKU_CAMPAIGN	BP0807	Paused	0.0
NEW_SKU_CAMPAIGN	BP9005BL	Paused	0.0
NEW_SKU_CAMPAIGN	BR1050	Active	0.0
NEW_SKU_CAMPAIGN	BR1TRM	Paused	0.0
NEW_SKU_CAMPAIGN	BR4800	Paused	0.0
NEW_SKU_CAMPAIGN	BRSTRB	Paused	0.0
NEW_SKU_CAMPAIGN	BS0090X2	Paused	0.0
NEW_SKU_CAMPAIGN	BS0114	Paused	0.0
NEW_SKU_CAMPAIGN	BS0120	Paused	0.0
NEW_SKU_CAMPAIGN	BS0160	Paused	0.0
NEW_SKU_CAMPAIGN	BS0210BC	Paused	0.0
NEW_SKU_CAMPAIGN	BS0210BD	Paused	0.0
NEW_SKU_CAMPAIGN	BS0210BE	Paused	0.0
NEW_SKU_CAMPAIGN	BS0210BF	Paused	0.0
NEW_SKU_CAMPAIGN	BS0210BG	Paused	0.0
NEW_SKU_CAMPAIGN	BS0210BH	Paused	0.0
NEW_SKU_CAMPAIGN	BS0210BI	Paused	0.0
NEW_SKU_CAMPAIGN	BS0210BN	Paused	0.0
NEW_SKU_CAMPAIGN	BS0210BR	Paused	0.0
NEW_SKU_CAMPAIGN	BS0210BS	Paused	0.0
NEW_SKU_CAMPAIGN	BS0210BV	Paused	0.0
NEW_SKU_CAMPAIGN	BS0245BP	Paused	0.0
NEW_SKU_CAMPAIGN	BS0245BY	Paused	0.0
NEW_SKU_CAMPAIGN	BS0245CA	Paused	0.0
NEW_SKU_CAMPAIGN	BS0245CB	Paused	0.0
NEW_SKU_CAMPAIGN	BS0245CC	Paused	0.0
NEW_SKU_CAMPAIGN	BS0245CD	Paused	0.0
NEW_SKU_CAMPAIGN	BS0245CE	Paused	0.0
NEW_SKU_CAMPAIGN	BS0245CF	Paused	0.0
NEW_SKU_CAMPAIGN	BS0245CG	Paused	0.0
NEW_SKU_CAMPAIGN	BS0245CH	Paused	0.0
NEW_SKU_CAMPAIGN	BS0245CI	Paused	0.0
NEW_SKU_CAMPAIGN	BS0245CJ	Paused	0.0
NEW_SKU_CAMPAIGN	BS0245CK	Paused	0.0
NEW_SKU_CAMPAIGN	BS0245CP	Paused	0.0
NEW_SKU_CAMPAIGN	BS0245CU	Paused	0.0
NEW_SKU_CAMPAIGN	BS0255	Paused	0.0
NEW_SKU_CAMPAIGN	BS0255WT	Paused	0.0
NEW_SKU_CAMPAIGN	BS0303	Paused	0.0
NEW_SKU_CAMPAIGN	BS0480	Paused	0.0
NEW_SKU_CAMPAIGN	BS0780	Paused	0.0
NEW_SKU_CAMPAIGN	BS0780BL	Paused	0.0
NEW_SKU_CAMPAIGN	BS1000	Paused	0.0
NEW_SKU_CAMPAIGN	BS1003	Paused	0.0
NEW_SKU_CAMPAIGN	BS1005	Paused	0.0
NEW_SKU_CAMPAIGN	BS1006	Paused	0.0
NEW_SKU_CAMPAIGN	BS1007	Paused	0.0
NEW_SKU_CAMPAIGN	BS1008	Paused	0.0
NEW_SKU_CAMPAIGN	BS1150	Paused	0.0
NEW_SKU_CAMPAIGN	BS1500	Active	0.0
NEW_SKU_CAMPAIGN	BS2250BL	Active	0.0
NEW_SKU_CAMPAIGN	BS2250CY	Paused	0.0
NEW_SKU_CAMPAIGN	BS2250KP	Paused	0.0
NEW_SKU_CAMPAIGN	BS2250LB	Paused	0.0
NEW_SKU_CAMPAIGN	BS2250OR	Paused	0.0
NEW_SKU_CAMPAIGN	BS2250PK	Active	0.0
NEW_SKU_CAMPAIGN	BS2400	Active	0.0
NEW_SKU_CAMPAIGN	BS3000	Paused	0.0
NEW_SKU_CAMPAIGN	BS4040	Paused	0.0
NEW_SKU_CAMPAIGN	BS4200	Paused	0.0
NEW_SKU_CAMPAIGN	BS5400BK	Paused	0.0
NEW_SKU_CAMPAIGN	BS5400WT	Paused	0.0
NEW_SKU_CAMPAIGN	BS6001	Paused	0.0
NEW_SKU_CAMPAIGN	BS6002	Paused	0.0
NEW_SKU_CAMPAIGN	BS8033X2BK	Paused	0.0
NEW_SKU_CAMPAIGN	BS8033X2RD	Paused	0.0
NEW_SKU_CAMPAIGN	BS8033X2WT	Paused	0.0
NEW_SKU_CAMPAIGN	BS9000	Paused	0.0
NEW_SKU_CAMPAIGN	BS9028X4	Active	0.0
NEW_SKU_CAMPAIGN	BS9045BKX2	Paused	0.0
NEW_SKU_CAMPAIGN	BS9045RDX2	Paused	0.0
NEW_SKU_CAMPAIGN	BS9060X2	Paused	0.0
NEW_SKU_CAMPAIGN	BS9061X2	Active	0.0
NEW_SKU_CAMPAIGN	BS9502	Paused	0.0
NEW_SKU_CAMPAIGN	BT0044	Paused	0.0
NEW_SKU_CAMPAIGN	BT0065	Paused	0.0
NEW_SKU_CAMPAIGN	BT0410	Paused	0.0
NEW_SKU_CAMPAIGN	BT0501	Paused	0.0
NEW_SKU_CAMPAIGN	BT1690	Paused	0.0
NEW_SKU_CAMPAIGN	BT2009	Paused	0.0
NEW_SKU_CAMPAIGN	BT3005	Paused	0.0
NEW_SKU_CAMPAIGN	BT3050	Paused	0.0
NEW_SKU_CAMPAIGN	BT3400	Paused	0.0
NEW_SKU_CAMPAIGN	BT3837	Paused	0.0
NEW_SKU_CAMPAIGN	BT4005	Paused	0.0
NEW_SKU_CAMPAIGN	BT4012	Paused	0.0
NEW_SKU_CAMPAIGN	BT5313	Active	0.0
NEW_SKU_CAMPAIGN	BT5500	Paused	0.0
NEW_SKU_CAMPAIGN	BT7004	Paused	0.0
NEW_SKU_CAMPAIGN	BT8347	Paused	0.0
NEW_SKU_CAMPAIGN	BV0150	Active	0.0
NEW_SKU_CAMPAIGN	BY7620	Paused	0.0
NEW_SKU_CAMPAIGN	BY7627	Active	0.0
NEW_SKU_CAMPAIGN	BY7631	Paused	0.0
NEW_SKU_CAMPAIGN	BY7641	Active	0.0
NEW_SKU_CAMPAIGN	BY7664	Paused	0.0
NEW_SKU_CAMPAIGN	BZ7682	Paused	0.0
NEW_SKU_CAMPAIGN	BZ7682BK	Paused	0.0
NEW_SKU_CAMPAIGN	BZ7711	Paused	0.0
NEW_SKU_CAMPAIGN	BZ7711RX	Active	0.0
NEW_SKU_CAMPAIGN	BZ7791	Active	0.0
NEW_SKU_CAMPAIGN	BZ7791BL	Paused	0.0
NEW_SKU_CAMPAIGN	BZ7791YL	Active	0.0
NEW_SKU_CAMPAIGN	BZ7871	Paused	0.0
NEW_SKU_CAMPAIGN	BZ7925	Active	0.0
NEW_SKU_CAMPAIGN	CA0057	Paused	0.0
NEW_SKU_CAMPAIGN	CA0058	Paused	0.0
NEW_SKU_CAMPAIGN	CA0168	Paused	0.0
NEW_SKU_CAMPAIGN	CA0350	Paused	0.0
NEW_SKU_CAMPAIGN	CA0705	Paused	0.0
NEW_SKU_CAMPAIGN	CA0899	Paused	0.0
NEW_SKU_CAMPAIGN	CA0899BK	Paused	0.0
NEW_SKU_CAMPAIGN	CA0899GE	Paused	0.0
NEW_SKU_CAMPAIGN	CA8030	Paused	0.0
NEW_SKU_CAMPAIGN	CA8030BS	Paused	0.0
NEW_SKU_CAMPAIGN	CA8030SL	Paused	0.0
NEW_SKU_CAMPAIGN	CA8109	Paused	0.0
NEW_SKU_CAMPAIGN	CA8125	Paused	0.0
NEW_SKU_CAMPAIGN	CA8125BK	Paused	0.0
NEW_SKU_CAMPAIGN	CA8149	Active	0.0
NEW_SKU_CAMPAIGN	CA8500SL	Paused	0.0
NEW_SKU_CAMPAIGN	CB0178	Active	0.0
NEW_SKU_CAMPAIGN	CB1003	Paused	0.0
NEW_SKU_CAMPAIGN	CB1305	Paused	0.0
NEW_SKU_CAMPAIGN	CB1310	Paused	0.0
NEW_SKU_CAMPAIGN	CB1330	Paused	0.0
NEW_SKU_CAMPAIGN	CB1950	Paused	0.0
NEW_SKU_CAMPAIGN	CB2000	Paused	0.0
NEW_SKU_CAMPAIGN	CB6009	Active	0.0
NEW_SKU_CAMPAIGN	CB7005	Paused	0.0
NEW_SKU_CAMPAIGN	CB8010	Paused	0.0
NEW_SKU_CAMPAIGN	CC0200	Paused	0.0
NEW_SKU_CAMPAIGN	CC1050	Active	0.0
NEW_SKU_CAMPAIGN	CC1242HD	Paused	0.0
NEW_SKU_CAMPAIGN	CC1610	Active	0.0
NEW_SKU_CAMPAIGN	CC1710	Active	0.0
NEW_SKU_CAMPAIGN	CC1810	Active	0.0
NEW_SKU_CAMPAIGN	CC1910	Active	0.0
NEW_SKU_CAMPAIGN	CC1990	Paused	0.0
NEW_SKU_CAMPAIGN	CC3320	Paused	0.0
NEW_SKU_CAMPAIGN	CC4000	Paused	0.0
NEW_SKU_CAMPAIGN	CC5200	Paused	0.0
NEW_SKU_CAMPAIGN	CC5245	Paused	0.0
NEW_SKU_CAMPAIGN	CC5245YL	Paused	0.0
NEW_SKU_CAMPAIGN	CC5300	Paused	0.0
NEW_SKU_CAMPAIGN	CC5500	Active	0.0
NEW_SKU_CAMPAIGN	CC6084H	Paused	0.0
NEW_SKU_CAMPAIGN	CC6800	Active	0.0
NEW_SKU_CAMPAIGN	CD1220	Paused	0.0
NEW_SKU_CAMPAIGN	CF0004GR	Paused	0.0
NEW_SKU_CAMPAIGN	CF0004RD	Active	0.0
NEW_SKU_CAMPAIGN	CF0004YL	Paused	0.0
NEW_SKU_CAMPAIGN	CF0012BK	Paused	0.0
NEW_SKU_CAMPAIGN	CF0012BR	Paused	0.0
NEW_SKU_CAMPAIGN	CF0012DB	Paused	0.0
NEW_SKU_CAMPAIGN	CF0012LW	Paused	0.0
NEW_SKU_CAMPAIGN	CF0165	Paused	0.0
NEW_SKU_CAMPAIGN	CF0165GR	Paused	0.0
NEW_SKU_CAMPAIGN	CF0165YL	Paused	0.0
NEW_SKU_CAMPAIGN	CF1408	Paused	0.0
NEW_SKU_CAMPAIGN	CF1500	Paused	0.0
NEW_SKU_CAMPAIGN	CF2980	Paused	0.0
NEW_SKU_CAMPAIGN	CF4486	Active	0.0
NEW_SKU_CAMPAIGN	CF8470	Active	0.0
NEW_SKU_CAMPAIGN	CG2756	Active	0.0
NEW_SKU_CAMPAIGN	CG6061	Active	0.0
NEW_SKU_CAMPAIGN	CG7192	Paused	0.0
NEW_SKU_CAMPAIGN	CH0110BBL	Paused	0.0
NEW_SKU_CAMPAIGN	CH0110BRD	Paused	0.0
NEW_SKU_CAMPAIGN	CH0110BYL	Paused	0.0
NEW_SKU_CAMPAIGN	CH0110CBL	Paused	0.0
NEW_SKU_CAMPAIGN	CH0110CRD	Paused	0.0
NEW_SKU_CAMPAIGN	CH0110CYL	Paused	0.0
NEW_SKU_CAMPAIGN	CH1400X100	Paused	0.0
NEW_SKU_CAMPAIGN	CH6001GR	Paused	0.0
NEW_SKU_CAMPAIGN	CH6001OR	Paused	0.0
