id	title	description	google_product_category	product_type	link	image_link	condition	availability	price	shipping	brand	mpn
001871BONE400X80	Elegant Cut And Loop pile Runner Bone 400x80cm	Elegant Cut And Loop pile Runner Bone 400x80cm	Home & Garden > Decor > Rugs	Rugs > ~ 400cm x 80cm	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Bone-400x80cm	http://www.soldsmart.com.au/files/001871BONE400X80/001871BONE400X80_gshop_img.jpg	new	in stock	224.95 AUD	AU:::19.95 AUD	Soldsmart	001871BONE400X80
001871CHAR165X115	Elegant Cut and Loop Pile Rug Charcoal 165x115cm	Elegant Cut and Loop Pile Rug Charcoal 165x115cm	Home & Garden > Decor > Rugs	Rugs > ~ 165cm x 115cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Charcoal-165x115cm	http://www.soldsmart.com.au/files/001871CHAR165X115/001871CHAR165X115_gshop_img.jpg	new	in stock	154.95 AUD	AU:::14.95 AUD	Soldsmart	001871CHAR165X115
001871CHAR300X80	Elegant Cut And Loop pile Runner Charcoal 300x80cm	Elegant Cut And Loop pile Runner Charcoal 300x80cm	Home & Garden > Decor > Rugs	Rugs > ~ 300cm x 80cm	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Charcoal-300x80cm	http://www.soldsmart.com.au/files/001871CHAR300X80/001871CHAR300X80_gshop_img.jpg	new	in stock	174.95 AUD	AU:::19.95 AUD	Soldsmart	001871CHAR300X80
001871CHOC165X115	Elegant Cut and Loop Pile Rug Chocolate 165x115cm	Elegant Cut and Loop Pile Rug Chocolate 165x115cm	Home & Garden > Decor > Rugs	Rugs > ~ 165cm x 115cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Chocolate-165x115cm	http://www.soldsmart.com.au/files/001871CHOC165X115/001871CHOC165X115_gshop_img.jpg	new	in stock	154.95 AUD	AU:::14.95 AUD	Soldsmart	001871CHOC165X115
001871CHOC225X155	Elegant Cut and Loop Pile Rug Chocolate 225x155cm	Elegant Cut and Loop Pile Rug Chocolate 225x155cm	Home & Garden > Decor > Rugs	Rugs > ~ 225cm x 155cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Chocolate-225x155cm	http://www.soldsmart.com.au/files/001871CHOC225X155/001871CHOC225X155_gshop_img.jpg	new	in stock	294.95 AUD	AU:::24.95 AUD	Soldsmart	001871CHOC225X155
001871CHOC300X80	Elegant Cut And Loop pile Runner Chocolate 300x80cm	Elegant Cut And Loop pile Runner Chocolate 300x80cm	Home & Garden > Decor > Rugs	Rugs > ~ 300cm x 80cm	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Chocolate-300x80cm	http://www.soldsmart.com.au/files/001871CHOC300X80/001871CHOC300X80_gshop_img.jpg	new	in stock	174.95 AUD	AU:::19.95 AUD	Soldsmart	001871CHOC300X80
001871CHOC320X230	Elegant Cut and Loop Pile Rug Chocolate 320x230cm	Elegant Cut and Loop Pile Rug Chocolate 320x230cm	Home & Garden > Decor > Rugs	Rugs > ~ 320cm x 230cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Chocolate-320x230cm	http://www.soldsmart.com.au/files/001871CHOC320X230/001871CHOC320X230_gshop_img.jpg	new	in stock	634.95 AUD	AU:::40.44 AUD	Soldsmart	001871CHOC320X230
001871CHOC400X80	Elegant Cut And Loop pile Runner Chocolate 400x80cm	Elegant Cut And Loop pile Runner Chocolate 400x80cm	Home & Garden > Decor > Rugs	Rugs > ~ 400cm x 80cm	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Chocolate-400x80cm	http://www.soldsmart.com.au/files/001871CHOC400X80/001871CHOC400X80_gshop_img.jpg	new	in stock	224.95 AUD	AU:::19.95 AUD	Soldsmart	001871CHOC400X80
001871EGGPLANT165X11	Elegant Cut and Loop Pile Rug Eggplant 165x115cm	Elegant Cut and Loop Pile Rug Eggplant 165x115cm	Home & Garden > Decor > Rugs	Rugs > ~ 165cm x 115cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Eggplant-165x115cm	http://www.soldsmart.com.au/files/001871EGGPLANT165X11/001871EGGPLANT165X11_gshop_img.jpg	new	in stock	154.95 AUD	AU:::14.95 AUD	Soldsmart	001871EGGPLANT165X11
001871EGGPLANT225X15	Elegant Cut and Loop Pile Rug Eggplant 225x155cm	Elegant Cut and Loop Pile Rug Eggplant 225x155cm	Home & Garden > Decor > Rugs	Rugs > ~ 225cm x 155cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Eggplant-225x155cm	http://www.soldsmart.com.au/files/001871EGGPLANT225X15/001871EGGPLANT225X15_gshop_img.jpg	new	in stock	294.95 AUD	AU:::24.95 AUD	Soldsmart	001871EGGPLANT225X15
001871EGGPLANT280X19	Elegant Cut and Loop Pile Rug Eggplant 280x190cm	Elegant Cut and Loop Pile Rug Eggplant 280x190cm	Home & Garden > Decor > Rugs	Rugs > ~ 280cm x 190cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Eggplant-280x190cm	http://www.soldsmart.com.au/files/001871EGGPLANT280X19/001871EGGPLANT280X19_gshop_img.jpg	new	in stock	454.95 AUD	AU:::29.95 AUD	Soldsmart	001871EGGPLANT280X19
001871EGGPLANT300X80	Elegant Cut And Loop pile Runner Eggplant 300x80cm	Elegant Cut And Loop pile Runner Eggplant 300x80cm	Home & Garden > Decor > Rugs	Rugs > ~ 300cm x 80cm	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Eggplant-300x80cm	http://www.soldsmart.com.au/files/001871EGGPLANT300X80/001871EGGPLANT300X80_gshop_img.jpg	new	in stock	174.95 AUD	AU:::19.95 AUD	Soldsmart	001871EGGPLANT300X80
001871EGGPLANT400X80	Elegant Cut And Loop pile Runner Eggplant 400x80cm	Elegant Cut And Loop pile Runner Eggplant 400x80cm	Home & Garden > Decor > Rugs	Rugs > ~ 400cm x 80cm	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Eggplant-400x80cm	http://www.soldsmart.com.au/files/001871EGGPLANT400X80/001871EGGPLANT400X80_gshop_img.jpg	new	in stock	224.95 AUD	AU:::19.95 AUD	Soldsmart	001871EGGPLANT400X80
