SKU	ManufacturerPartNum	OnMarket
002BATWH45YELLOWX4	BA-TW-H45-YELLOWX4	0
002BATWH66BLACKX4	BA-TW-H66-BLACKX4	1
002BATWH66BLUEX4	BA-TW-H66-BLUEX4	0
002BATWH66CHOCOX4	BA-TW-H66-CHOCOX4	1
002BATWH66GREENX4	BA-TW-H66-GREENX4	1
002BATWH66METALX4	BA-TW-H66-METALX4	0
002BATWH66ORANGEX4	BA-TW-H66-ORANGEX4	1
002BATWH66PINKX4	BA-TW-H66-PINKX4	0
002BATWH66PURPLEX4	BA-TW-H66-PURPLEX4	1
002BATWH66REDX4	BA-TW-H66-REDX4	1
002BATWH66WHITEX4	BA-TW-H66-WHITEX4	1
002BATWH66YELLOWX4	BA-TW-H66-YELLOWX4	1
002BATWM2503BKX2	BA-TW-M2503-BKX2	1
002BATWM2503WHX2	BA-TW-M2503-WHX2	1
002BATWM3805ARDX2	BA-TW-M3805A-RDX2	0
002BATWM3805CLBKX2	BA-TW-M3805-CL-BKX2	1
002BATWM3805CLWHX2	BA-TW-M3805-CL-WHX2	0
002BATWT1001BKX2	BA-TW-T1001-BKX2	1
002BATWT1001WHX2	BA-TW-T1001-WHX2	1
002BATWT1185BKX2	BA-TW-T1185-BKX2	1
002BATWT1185WHX2	BA-TW-T1185-WHX2	1
002BATWT1191BKX2	BA-TW-T1191-BKX2	1
002BATWT1191WHX2	BA-TW-T1191-WHX2	0
002BATWT305BLACKX2	ba-tw-T305-Black-X2	0
002BATWT305WHITEX2	ba-tw-T305-White-X2	0
002BATWT307GBEIGEX2	ba-tw-T307G_BeigeX2	1
002BATWT307GBLACKX2	ba-tw-T307G_BlackX2	1
002BATWT307GBURGUNDY	ba-tw-T307G_BurgundyX2	1
002BATWT307GCHOCX2	ba-tw-T307G_ChocX2	1
002BATWT307GWHITEX2	ba-tw-T307G_WhiteX2	0
002BATWT328GBKX2	BA-TW-T328G-BKX2	1
002BATWT328GCHARX2	BA-TW-T328G-CHARX2	1
002BATWT328GCHOCX2	BA-TW-T328G-CHOC-X2	1
002BATWT328GTAX2	BA-TW-T328G-TAX2	1
002BATWT328GWHX2	BA-TW-T328G-WHX2	1
002BATWT4024BLACKX2	BA-TW-T4024-BLACKX2	1
002BATWT4024WOODX2	BA-TW-T4024-WOODX2	1
002BATWT407VANEERX2	ba-tw-T407-vaneerX2	0
002BATWT7009BLACKX2	ba-tw-T7009-Black-X2	0
002BATWT706BEIGEX2	ba-tw-T706-Beige-X2	1
002BATWT706BLACKX2	ba-tw-T706-Black-X2	1
002BATWT706CHOCX2	ba-tw-T706-Choc-X2	1
002BATWT706WHITEX2	ba-tw-T706-White-X2	1
002BATWT710NBEIGEX2	ba-tw-T710N-Beige-X2	1
002BATWT710NBLACKX2	ba-tw-T710N-Black-X2	1
002BATWT710NBURGUNDY	ba-tw-T710N-Burgundy-X2	1
002BATWT710NCHOCX2	ba-tw-T710N-Choc-X2	1
002BATWT710NWHITEX2	ba-tw-T710N-White-X2	1
002BBQBIHK101	BBQ-BI-HK1-01	0
002BCHC200WUSB	BC-HC-200W-USB	0
002BCHC20A	BC-HC-20A	1
002BCHC40A	BC-HC-40A	1
002BFRAMECBDOUBLEBKA	BFRAME-CB-DOUBLE-BK-AB	0
002BFRAMECBDOUBLEWHA	BFRAME-CB-DOUBLE-WH-AB	0
002BFRAMECBKINGBKAB	BFRAME-CB-KING-BK-AB	1
002BFRAMECBKINGWHAB	BFRAME-CB-KING-WH-AB	1
002BFRAMECBQUEENBKAB	BFRAME-CB-QUEEN-BK-AB	0
002BFRAMECBQUEENWTAB	BFRAME-CB-QUEEN-WT-AB	1
002BFRAMEDIDOUBLEBKA	BFRAME-DI-DOUBLE-BK-AB	1
002BFRAMEDIDOUBLEWTA	BFRAME-DI-DOUBLE-WT-AB	0
002BFRAMEDIQUEENBKAB	BFRAME-DI-QUEEN-BK-AB	1
002BFRAMEDIQUEENWTAB	BFRAME-DI-QUEEN-WT-AB	1
002BFRAMEDOUBLEBKAB	BFRAME-DOUBLE-BK-AB	1
002BFRAMEDOUBLEBRAB	BFRAME-DOUBLE-BR-AB	0
002BFRAMEDOUBLEWTAB	BFRAME-DOUBLE-WT-AB	1
002BFRAMEKINGBKAB	BFRAME-KING-BK-AB	1
002BFRAMEKINGWTAB	BFRAME-KING-WT-AB	1
002BFRAMEKSINGLEBKAB	BFRAME-K-SINGLE-BK-AB	1
002BFRAMEKSINGLEWTAB	BFRAME-K-SINGLE-WT-AB	0
002BFRAMEQUEENBKAB	BFRAME-QUEEN-BK-AB	1
002BFRAMEQUEENBRAB	BFRAME-QUEEN-BR-AB	0
