Item ID	Custom Label	Quantity Available	Purchases	Bids	Price	Start Date	End Date	Condition	Type	Item Title	Category Leaf Name	Category Number	Private Notes	Site Listed	Download Date	Variation Details	Product Reference ID	Condition ID	OutOfStockControl	LISTING TYPE (DELETE THIS COLUMN IF PERFORMING KERP IMPORT)
311193319018	IG1336BR	1	0		34.9	28-Nov-14	08-Dec-14	Brand New	9	BR NEW 25CM DELUXE 2 WAY LOCKING CAT DOG FLAP DOOR FREE SHIPPING		0		15	08-Dec-14 10:47:46 AEST			1000	FALSE	FixedPriceItem	
301414709833	GE9617SL	1	0		41.4	28-Nov-14	08-Dec-14	Brand New	9	BR NEW SILVER MOTORCYCLE BIKE MP3 AUDIO MUSIC PLAYER FREE SHIPPING		0		15	08-Dec-14 10:47:46 AEST			1000	FALSE	FixedPriceItem	
301414709939	ZX7053	1	0		41.9	28-Nov-14	08-Dec-14	Brand New	9	BR NEW HARDENED STEEL BLADES DOG PET HAIR CLIPPERS FREE SHIPPING		0		15	08-Dec-14 10:47:46 AEST			1000	FALSE	FixedPriceItem	
301414710092	BT5313	1	0		48.55	28-Nov-14	08-Dec-14	Brand New	9	BR NEW HANDCRAFTED HUGE 88CM MODEL BOAT/YACHT/SHIP FREE SHIPPING		0		15	08-Dec-14 10:47:46 AEST			1000	FALSE	FixedPriceItem	
311193319422	XC0002	1	0		50.93	28-Nov-14	08-Dec-14	Brand New	9	BR NEW STEEL PORTABLE FOLDABLE BARBECUE BBQ GRILL FREE SHIPPING		0		15	08-Dec-14 10:47:46 AEST			1000	FALSE	FixedPriceItem	
361132297703	BG1700	1	0		59.05	28-Nov-14	08-Dec-14	Brand New	9	PHOTOGRAPHY PHOTO STUDIO SOFT BOX LIGHTING LIGHT SET FREE SHIPPING		0		15	08-Dec-14 10:47:46 AEST			1000	FALSE	FixedPriceItem	
301414710274	PT0200	1	0		60.95	28-Nov-14	08-Dec-14	Brand New	9	BR NEW CAMPING OUTDOOR 10L PORTABLE TOILET LOO FREE SHIPPING		0		15	08-Dec-14 10:47:46 AEST			1000	FALSE	FixedPriceItem	
361132297761	WR0100	1	0		63.55	28-Nov-14	08-Dec-14	Brand New	9	BR NEW 44 BOTTLE RUSTIC WOODEN WINE HOLDING RACK FREE SHIPPING		0		15	08-Dec-14 10:47:46 AEST			1000	FALSE	FixedPriceItem	
361132297808	PT0240	1	0		66.35	28-Nov-14	08-Dec-14	Brand New	9	BR NEW OUTDOOR CAMPING FISHING 20L PORTABLE TOILET FREE SHIPPING		0		15	08-Dec-14 10:47:46 AEST			1000	FALSE	FixedPriceItem	
361132297920	CF0001	1	0		68.55	28-Nov-14	08-Dec-14	Brand New	9	BR NEW KIDS BLUE AND RED 12 STORAGE BOXES SHELVES SET FREE SHIPPING		0		15	08-Dec-14 10:47:46 AEST			1000	FALSE	FixedPriceItem	
361132297964	G2165BK	1	0		68.55	28-Nov-14	08-Dec-14	Brand New	9	NEW ROCK STYLE MARBLE GREY WOODEN ACOUSTIC GUITAR FREE SHIPPING		0		15	08-Dec-14 10:47:46 AEST			1000	FALSE	FixedPriceItem	
311193319763	WH8000	1	0		79.05	28-Nov-14	08-Dec-14	Brand New	9	NEW SOLAR LITHIUM AUTO DARKENING WELDING HELMET FREE SHIPPING		0		15	08-Dec-14 10:47:46 AEST			1000	FALSE	FixedPriceItem	
301414710771	NK2798	1	0		139.9	28-Nov-14	08-Dec-14	Brand New	9	BR NEW 468L 123CM OUTDOOR LIGHT FIR WOOD STORAGE DECK BOX FREE SHIPPING		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	FixedPriceItem	
311193319871	CS7700BK	1	0		141.85	28-Nov-14	08-Dec-14	Brand New	9	BR NEW GHEPARDO RECLINING RACING CAR RIGHT SEAT FREE SHIPPING		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	FixedPriceItem	
361132298155	WP5060	1	0		174.2	28-Nov-14	08-Dec-14	Brand New	9	BR NEW 5.5HP 4 STROKE FORCED AIR COOLED WATER PUMP FREE SHIPPING		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	FixedPriceItem	
301414710957	IC0914SW	1	0		228.95	28-Nov-14	08-Dec-14	Brand New	9	NEW 18KG PER DAY 4 ICE SIZES 1.5KG CAPACITY 2.3L AUTO ICE MAKER		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	FixedPriceItem	
301015695424	TR4960	4	9		24.95	13-Nov-13		Brand New	9	NEW 10OZ FLAME DESIGN TRAINING BOXING GLOVES		0		15	08-Dec-14 10:47:47 AEST			1000	TRUE	FixedPriceItem	
301015695450	XT5844	5	3		28.95	13-Nov-13		Brand New	9	NEW ADULT SIZE RED BOXING HEAD GUARD HELMET		0		15	08-Dec-14 10:47:47 AEST			1000	TRUE	FixedPriceItem	
360790387428	WC6002	1	5		29.95	13-Nov-13		Brand New	9	BR NEW ANTIQUE STYLE DOUBLE FACED HANGING WALL CLOCK		0		15	08-Dec-14 10:47:47 AEST			1000	TRUE	FixedPriceItem	
310794461166	WD9953PU	0	8		28.95	13-Nov-13		Brand New	9	NEW PURPLE NON WOVEN FABRIC STEEL WARDROBE		0		15	08-Dec-14 10:47:47 AEST			1000	TRUE	FixedPriceItem	
301015695901	TY1052DW	0	4		56.95	13-Nov-13		Brand New	9	BR NEW 83CM X 42CM WILDLIFE THEME KIDS BOOK SHELF		0		15	08-Dec-14 10:47:47 AEST			1000	TRUE	FixedPriceItem	
310794461618	RP5200	0	5		160.95	13-Nov-13		Brand New	9	NEW PAIR OF PORTABLE DRIVE OVER ALUMINUM FOLDING RAMPS		0		15	08-Dec-14 10:47:47 AEST			1000	TRUE	FixedPriceItem	
