SKU	ManufacturerPartNum	OnMarket
006W2674	W2674	1
006W267A	W267A	1
006W269	W269	1
006W2691	W2691	1
006W2692	W2692	1
006W2826	W2826	0
006W2827	W2827	1
006W2975	W2975	0
006W3101	W3101	1
006W3101A	W3101A	1
006W3105	W3105	1
006W3105A	W3105A	0
006W3106	W3106	1
006W3106A	W3106A	0
006W3107	W3107	1
006W3107A	W3107A	0
006W3107B	W3107B	1
006W311	W311	0
006W311A	W311A	1
006W3121	W3121	1
006W3121A	W3121A	1
006W3121B	W3121B	1
006W3122	W3122	1
006W3123	W3123	1
006W3123A	W3123A	1
006W3124B	W3124B	1
006W312A	W312A	1
006W319	W319	1
006W319A	W319A	1
006W319B	W319B	1
006W330A	W330A	0
006W332	W332	0
006W3325	W3325	1
006W3331	W3331	1
006W334	W334	1
006W340	W340	0
006W350	W350	1
006W351	W351	1
006W360	W360	1
006W360B	W360B	1
006W361	W361	1
006W380	W380	0
006W382	W382	1
006W3823	W3823	1
006W3831	W3831	0
006W3832	W3832	0
006W3832B	W3832B	0
006W3843	W3843	1
006W3845	W3845	1
006W3845A	W3845A	1
006W3846	W3846	1
006W3849	W3849	1
006W38814	W38814	0
006W3945	W3945	1
006W400	W400	1
006W401	W401	1
006W405	W405	0
006W4135	W4135	0
006W4141	W4141	1
006W4202	W4202	1
006W4203	W4203	1
006W4203A	W4203A	1
006W425	W425	1
006W4251	W4251	1
006W430	W430	0
006W434	W434	0
006W445	W445	1
006W445A	W445A	0
006W4513	W4513	1
006W4533	W4533	0
006W458	W458	1
006W4625	W4625	1
006W4630	W4630	1
006W4662	W4662	1
006W4667	W4667	1
006W468	W468	1
006W471A	W471A	0
006W472	W472	1
006W4787	W4787	1
006W480	W480	1
006W4805	W4805	0
006W4807	W4807	1
006W485	W485	1
006W485A	W485A	1
006W485B	W485B	1
006W4892A	W4892A	0
006W494	W494	1
006W4982	W4982	1
006W4986	W4986	1
006W499	W499	0
006W4991	W4991	1
006W4991A	W4991A	0
006W4993	W4993	0
006W5005	W5005	1
006W5013	W5013	1
006W5013A	W5013A	0
006W5021	W5021	1
006W507	W507	1
006W5085	W5085	0
006W5092	W5092	1
006W5098A	W5098A	1
006W511	W511	1
006W516	W516	1
006W536	W536	0
006W551	W551	1
006W563	W563	1
006W567A	W567A	0
006W572	W572	0
006W5901	W5901	0
006W594	W594	0
006W602A	W602A	1
006W6031	W6031	1
006W607	W607	0
006W6071	W6071	1
006W6072	W6072	1
006W6073	W6073	1
006W6074	W6074	1
006W6135	W6135	1
006W6136	W6136	1
006W619	W619	1
006W620A	W620A	1
006W625	W625	0
006W635A	W635A	1
006W6437	W6437	0
006W645	W645	1
006W6501	W6501	1
006W651	W651	0
006W6532A	W6532A	1
006W654A	W654A	0
006W6811	W6811	1
006W687	W687	0
006W6885	W6885	1
006W6885A	W6885A	0
006W6885B	W6885B	1
006W6886	W6886	1
006W6886A	W6886A	1
006W6886B	W6886B	0
006W689	W689	1
006W6960A	W6960A	1
006W6960B	W6960B	0
006W705	W705	0
006W710	W710	1
006W710B	W710B	0
006W727	W727	1
006W736	W736	0
006W743A	W743A	0
006W7451	W7451	0
006W7476A	W7476A	1
006W763	W763	1
006W775	W775	0
006W780	W780	1
006W7961A	W7961A	1
006W807	W807	1
006W825	W825	1
006W8251	W8251	1
006W8251A	W8251A	1
006W825A	W825A	0
006W826	W826	1
006W835	W835	0
006W855	W855	0
006W857	W857	1
006W8570	W8570	1
006W85851	W85851	1
006W859	W859	0
006W8591	W8591	0
006W8596	W8596	1
006W8596A	W8596A	0
006W860	W860	1
006W8635	W8635	0
006W8635A	W8635A	1
006W864	W864	1
006W865	W865	1
006W8663	W8663	1
006W886	W886	0
006W889	W889	1
006W890	W890	1
006W8941	W8941	1
006W896	W896	1
006W897	W897	1
006W898	W898	0
006W905	W905	0
