SKU	ManufacturerPartNum	OnMarket
001AF143BEIGE290X200	AF-143-BEIGE-290X200	0
001AF200BROWN170X120	AF-200-BROWN-170X120	0
001AF200BROWN230X160	AF-200-BROWN-230X160	0
001AF200BROWN280X190	AF-200-BROWN-280X190	0
001AF200BROWN500X80	AF-200-BROWN-500X80	0
001AF210BEIGE290X200	AF-210-BEIGE-290X200	0
001AF210GREY170X120	AF-210-GREY-170X120	0
001AF210GREY230X160	AF-210-GREY-230X160	0
001AF250ACBRO165X115	AF-250AC-BRO-165X115	0
001AF250ACBRO225X155	AF-250AC-BRO-225X155	0
001AF250ACBRO280X190	AF-250AC-BRO-280X190	0
001AF252ACCRE165X115	AF-252AC-CRE-165X115	0
001AF252ACCRE225X155	AF-252AC-CRE-225X155	0
001AQA3BLA230X160502	AQA-3-BLA-230X160-502K	0
001AQA3BLA290X200502	AQA-3-BLA-290X200-502K	0
001AQA3BRO230X160502	AQA-3-BRO-230X160-502N	0
001ASIFGOLD170X120	ASIF-GOLD-170X120	0
001ASIFGOLD230X160	ASIF-GOLD-230X160	0
001ASP226RED160X110	ASP-226-RED-160X110	0
001ASP227BLU160X110	ASP-227-BLU-160X110	0
001ASP4026BLU160X110	ASP-4026-BLU-160X110	0
001ASP403141155X90	ASP-4031-41-155X90	0
001ASP403153155X90	ASP-4031-53-155X90	1
001ASP4032PIN130X90	ASP-4032-PIN-130X90	0
001ASP4036CRE160X110	ASP-4036-CRE-160X110	0
001ASP4049PUR130X130	ASP-4049-PUR-130X130	1
001ASP4050BLU130X130	ASP-4050-BLU-130X130	0
001ASP4053PIN160X110	ASP-4053-PIN-160X110	0
001ASP4056BLU120X72	ASP-4056-BLU-120X72	1
001ASP4089GRE130X130	ASP-4089-GRE-130X130	1
001ASP4091BLU160X110	ASP-4091-BLU-160X110	1
001ASP4114PIN120X80	ASP-4114-PIN-120X80	0
001BCF1002H11230X160	BCF-1002-H11-230X160	1
001BCF1002H11280X190	BCF-1002-H11-280X190	1
001BCF1002H11330X240	BCF-1002-H11-330X240	0
001BCF1003B11230X160	BCF-1003-B11-230X160	1
001BCF1003H11230X160	BCF-1003-H11-230X160	1
001BCF1003H11280X190	BCF-1003-H11-280X190	1
001BCF1003H11330X240	BCF-1003-H11-330X240	0
001BCF1003R55230X160	BCF-1003-R55-230X160	1
001BCF1003S22230X160	BCF-1003-S22-230X160	1
001BCF1003S22280X190	BCF-1003-S22-280X190	0
001BCF1003S22330X240	BCF-1003-S22-330X240	0
001BCF1003S55280X190	BCF-1003-S55-280x190	0
001BCF1020B55230X160	BCF-1020-B55-230X160	1
001BCF1020B55280X190	BCF-1020-B55-280X190	0
001BCF1020B55330X240	BCF-1020-B55-330X240	0
001BCF1020B55400X300	BCF-1020-B55-400X300	0
001BCF1020P11230X160	BCF-1020-P11-230X160	0
001BCF1020P11280X190	BCF-1020-P11-280X190	0
001BCF1020P11330X240	BCF-1020-P11-330X240	0
001BCF1020R33230X160	BCF-1020-R33-230X160	1
001BCF1020R33280X190	BCF-1020-R33-280X190	0
001BCF1020R33330X240	BCF-1020-R33-330X240	0
001BCF1020R55230X160	BCF-1020-R55-230X160	1
001BCF1020R55280X190	BCF-1020-R55-280X190	0
001BCF1020R55330X240	BCF-1020-R55-330X240	0
001BCF1056H11230X160	BCF-1056-H11-230X160	1
001BCF1057H11230X160	BCF-1057-H11-230X160	1
001BCF1057H11280X190	BCF-1057-H11-280X190	0
001BCF1057H11330X240	BCF-1057-H11-330X240	0
001BCF1057H55230X160	BCF-1057-H55-230X160	1
001BCF1057H55280X190	BCF-1057-H55-280X190	1
001BCF1057H55330X240	BCF-1057-H55-330x240	0
001BCF1114X44230X160	BCF-1114-X44-230X160	1
001BCF1147S22230X160	BCF-1147-S22-230X160	1
001BCF1147S33230X160	BCF-1147-S33-230X160	1
001BCF1148R55230X160	BCF-1148-R55-230X160	1
001BCF1148S22230X160	BCF-1148-S22-230X160	1
001BCF1148S33230X160	BCF-1148-S33-230X160	1
001BCF1150R55230X160	BCF-1150-R55-230X160	1
001BCF1150S12230X160	BCF-1150-S12-230X160	0
001BCF1151R55230X160	BCF-1151-R55-230X160	1
001BCF1151S33230X160	BCF-1151-S33-230X160	1
001BCF1153R11230X160	BCF-1153-R11-230X160	1
001BCF1153R55230X160	BCF-1153-R55-230X160	1
001BCF1216H11230X160	BCF-1216-H11-230X160	1
001BCF1216H11280X190	BCF-1216-H11-280X190	1
001BCF1216H11330X240	BCF-1216-H11-330X240	1
001BCF1223H11230X160	BCF-1223-H11-230X160	1
001BCF1226H11230X160	BCF-1226-H11-230X160	1
001BCF1228H11230X160	BCF-1228-H11-230X160	1
001BCF1228H11280X190	BCF-1228-H11-280X190	1
001BCF1228H11330X240	BCF-1228-H11-330X240	1
001BCF1234W11230X160	BCF-1234-W11-230X160	1
001BCF1234W11280X190	BCF-1234-W11-280X190	0
001BCF1234W11330X240	BCF-1234-W11-330X240	1
001BCF1234W33230X160	BCF-1234-W33-230X160	1
001BCF1234W33280X190	BCF-1234-W33-280X190	1
001BCF1234W33330X240	BCF-1234-W33-330X240	0
001BCF1235H11230X160	BCF-1235-H11-230X160	1
001BCF1246W11230X160	BCF-1246-W11-230X160	1
001BCF1246W11280X190	BCF-1246-W11-280X190	1
001BCF1246W11330X240	BCF-1246-W11-330X240	0
001BCF1246W33230X160	BCF-1246-W33-230X160	1
001BCF1246W33280X190	BCF-1246-W33-280X190	0
001BCF1246W33330X240	BCF-1246-W33-330X240	0
001BCF1255P11230X160	BCF-1255-P11-230X160	0
001BCF1255X11230X160	BCF-1255-X11-230X160	1
001BCF1268H11230X160	BCF-1268-H11-230X160	1
001BCF1268S22230X160	BCF-1268-S22-230X160	1
001BCF1269P11230X160	BCF-1269-P11-230X160	0
001BCF1290R55230X160	BCF-1290-R55-230X160	1
001BCF1291R55230X160	BCF-1291-R55-230X160	1
001BCF1349H11230X160	BCF-1349-H11-230X160	1
001BCF1349H11280X190	BCF-1349-H11-280X190	0
001BCF1349H11330X240	BCF-1349-H11-330X240	0
001BCF1349P11230X160	BCF-1349-P11-230X160	0
