Campaign	Ad Group	Keyword	Keyword Type	Max CPC	Keyword Status
NEW_SKU_CAMPAIGN	AE2056	Elm Wood Portable Folding Art Easel & Legs & Drawer	Broad	0.2	Active
NEW_SKU_CAMPAIGN	AE2056		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AE2056		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AE2056		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AE2056		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AE2056		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AE2056		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AE2056		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AE2056		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AX7324	Red Black Adjustable Height Racing Seat Office Chair	Broad	0.2	Active
NEW_SKU_CAMPAIGN	AX7324		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AX7324		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AX7324		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AX7324		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AX7324		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AX7324		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AX7324		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AX7324		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AY7513	165cm Iron Bird Cage Hanging Hanger Stand	Broad	0.2	Active
NEW_SKU_CAMPAIGN	AY7513		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AY7513		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AY7513		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AY7513		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AY7513		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AY7513		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AY7513		Broad	0.2	Active
NEW_SKU_CAMPAIGN	AY7513		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BB1830	140cm Kids Inflatable Jumping Bouncing Castle	Broad	0.2	Active
NEW_SKU_CAMPAIGN	BB1830		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BB1830		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BB1830		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BB1830		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BB1830		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BB1830		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BB1830		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BB1830		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BC0105	125cm Curved Abdominal Ab Sit Up Training Bench	Broad	0.2	Active
NEW_SKU_CAMPAIGN	BC0105		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BC0105		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BC0105		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BC0105		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BC0105		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BC0105		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BC0105		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BC0105		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BC0290OR	Orange Adjustable Height Reclining Baby High Chair	Broad	0.2	Active
NEW_SKU_CAMPAIGN	BC0290OR		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BC0290OR		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BC0290OR		Broad	0.2	Active
NEW_SKU_CAMPAIGN	BC0290OR		Broad	0.2	Active
