SKU	ManufacturerPartNum	OnMarket
004FFCKIN8GBTFSDC4	FFCKIN8GBTFSDC4	1
004FFCSAM16GSDSG80	FFCSAM16GSDSG80	1
004FFCSAM16GSDSP48	FFCSAM16GSDSP48	1
004FFCSAM16GTFCL10	FFCSAM16GTFCL10	1
004FFCSAM16GTFMG70B	FFCSAM16GTFMG70_B	1
004FFCSAM32GSDSG80	FFCSAM32GSDSG80	1
004FFCSAM32GSDSP48	FFCSAM32GSDSP48	1
004FFCSAM32GTFCL10	FFCSAM32GTFCL10	1
004FFCSAM32GTFMG70B	FFCSAM32GTFMG70_B	1
004FFCSAM32GTFMP48	FFCSAM32GTFMP48	1
004FFCSAM64GSDSG80	FFCSAM64GSDSG80	1
004FFCSAM64GTFMG70	FFCSAM64GTFMG70	1
004FFCSAM64GTFMP48	FFCSAM64GTFMP48	1
004FFCSAM64GTFPR10B	FFCSAM64GTFPR10_B	1
004FFCSAM8GBTFMG70B	FFCSAM8GBTFMG70_B	1
004FFCSAN128GBCFXS2	FFCSAN128GBCFXS-2	1
004FFCSAN16GBCFXS120	FFCSAN16GBCFXS120MB-1	1
004FFCSAN16GCFUL50	FFCSAN16GCFUL50	1
004FFCSAN16GSDEX95	FFCSAN16GSDEX95	1
004FFCSAN16GTFEX45	FFCSAN16GTFEX45	1
004FFCSAN16GTFEXB	FFCSAN16GTFEX_B	1
004FFCSAN32GBCFXS120	FFCSAN32GBCFXS120MB-2	1
004FFCSAN32GCFUL50	FFCSAN32GCFUL50	1
004FFCSAN32GEXVD80B	FFCSAN32GEXVD80_B	1
004FFCSAN32GSDEX95	FFCSAN32GSDEX95	1
004FFCSAN32GSDHCC2	FFCSAN32GSDHCC2	1
004FFCSAN32GTFEX45	FFCSAN32GTFEX45	1
004FFCSAN4GBCFUL25	FFCSAN4GBCFUL25	1
004FFCSAN64GBCFXS120	FFCSAN64GBCFXS120MB-B	1
004FFCSAN64GCFEXPR	FFCSAN64GCFEXPR	1
004FFCSAN64GSDEX95	FFCSAN64GSDEX95	1
004FFCSAN64GSDHCC4C	FFCSAN64GSDHCC4_C	1
004FFCSAN64GTFEX45	FFCSAN64GTFEX45	1
004FFCSAN8GBCFEX4X	FFCSAN8GBCFEX4X	1
004FFCSAN8GBSDEX95	FFCSAN8GBSDEX95	1
004FFCSAN8GBTFULNA	FFCSAN8GBTFULNA	1
004FFCSAN8GCFUL50	FFCSAN8GCFUL50	1
004FFCSAN8GVIDEO30B	FFCSAN8GVIDEO30B	1
004FFCSON16GTFA4ADB	FFCSON16GTFA4AD-B	1
004FFCSON16GUXSD94B	FFCSON16GUXSD94-B	1
004FFCSON16GUYAC10B	FFCSON16GUYAC10-B	1
004FFCSON16GUYSD40B	FFCSON16GUYSD40-B	1
004FFCSON32GTFA4ADC	FFCSON32GTFA4AD-C	1
004FFCSON32GUXSD94	FFCSON32GUXSD94	1
004FFCSON32GUYAC10B	FFCSON32GUYAC10-B	1
004FFCSON32GUYSD40B	FFCSON32GUYSD40-B	1
004FFCSON4GBTFA4ADB	FFCSON4GBTFA4AD-B	1
004FFCSON8GBTFA4ADB	FFCSON8GBTFA4AD-B	1
004FFCSON8GBUYAC10B	FFCSON8GBUYAC10-B	1
004FFCSON8GBUYSD40B	FFCSON8GBUYSD40-B	1
004FFFCSAN128GEXV45	FFFCSAN128GEXV45	1
004FFFCSAN16GEXVD45	FFFCSAN16GEXVD45	1
004FFFCSAN16GSDHCC4	FFFCSAN16GSDHCC4	1
004FFFCSAN16GSDUL10	FFFCSAN16GSDUL10	1
004FFFCSAN16GTFNOAD2	FFFCSAN16GTFNOAD2	1
004FFFCSAN16GTFUL10	FFFCSAN16GTFUL10	1
004FFFCSAN32GEXVD45	FFFCSAN32GEXVD45	1
004FFFCSAN32GSDUL10	FFFCSAN32GSDUL10	1
004FFFCSAN32GTFNOAD2	FFFCSAN32GTFNOAD2	1
004FFFCSAN32GTFUL10	FFFCSAN32GTFUL10	1
004FFFCSAN4GBSDHCC4	FFFCSAN4GBSDHCC4	1
