Campaign	Ad Group	AdGroup Status
NEW_SKU_CAMPAIGN	BG0030	Paused
NEW_SKU_CAMPAIGN	BG1700	Paused
NEW_SKU_CAMPAIGN	BG3050	Paused
NEW_SKU_CAMPAIGN	BG3050GR	Paused
NEW_SKU_CAMPAIGN	BG5030	Paused
NEW_SKU_CAMPAIGN	BG5030BL	Paused
NEW_SKU_CAMPAIGN	BG8050	Paused
NEW_SKU_CAMPAIGN	BG8050BL	Active
NEW_SKU_CAMPAIGN	BG8050RD	Paused
NEW_SKU_CAMPAIGN	BG8050YL	Active
NEW_SKU_CAMPAIGN	BJ0500	Paused
NEW_SKU_CAMPAIGN	BK0034RD	Paused
NEW_SKU_CAMPAIGN	BK0034RDBK	Active
NEW_SKU_CAMPAIGN	BK8X70	Active
NEW_SKU_CAMPAIGN	BL1100	Paused
NEW_SKU_CAMPAIGN	BL1100BK	Paused
NEW_SKU_CAMPAIGN	BL1800	Paused
NEW_SKU_CAMPAIGN	BL4000	Paused
NEW_SKU_CAMPAIGN	BL4008	Paused
NEW_SKU_CAMPAIGN	BL7002	Paused
NEW_SKU_CAMPAIGN	BM0115	Paused
NEW_SKU_CAMPAIGN	BM0115BK	Paused
NEW_SKU_CAMPAIGN	BM0420WT	Paused
NEW_SKU_CAMPAIGN	BM0550BK	Paused
NEW_SKU_CAMPAIGN	BM1152	Paused
NEW_SKU_CAMPAIGN	BM2037	Paused
NEW_SKU_CAMPAIGN	BM3060	Paused
NEW_SKU_CAMPAIGN	BN8X70	Paused
NEW_SKU_CAMPAIGN	BNC001	Paused
NEW_SKU_CAMPAIGN	BO0001	Active
NEW_SKU_CAMPAIGN	BO0120	Paused
NEW_SKU_CAMPAIGN	BO0850	Paused
NEW_SKU_CAMPAIGN	BO2700	Paused
NEW_SKU_CAMPAIGN	BO2700SL	Paused
NEW_SKU_CAMPAIGN	BO7008	Paused
NEW_SKU_CAMPAIGN	BP0608	Paused
NEW_SKU_CAMPAIGN	BP0805	Paused
NEW_SKU_CAMPAIGN	BP0807	Paused
NEW_SKU_CAMPAIGN	BP9005BL	Paused
NEW_SKU_CAMPAIGN	BR1050	Active
NEW_SKU_CAMPAIGN	BR1TRM	Paused
NEW_SKU_CAMPAIGN	BR4800	Paused
NEW_SKU_CAMPAIGN	BRSTRB	Paused
NEW_SKU_CAMPAIGN	BS0090X2	Paused
NEW_SKU_CAMPAIGN	BS0114	Active
NEW_SKU_CAMPAIGN	BS0120	Paused
NEW_SKU_CAMPAIGN	BS0160	Paused
NEW_SKU_CAMPAIGN	BS0210BC	Paused
NEW_SKU_CAMPAIGN	BS0210BD	Paused
NEW_SKU_CAMPAIGN	BS0210BE	Paused
NEW_SKU_CAMPAIGN	BS0210BF	Paused
NEW_SKU_CAMPAIGN	BS0210BG	Paused
NEW_SKU_CAMPAIGN	BS0210BH	Paused
NEW_SKU_CAMPAIGN	BS0210BI	Paused
NEW_SKU_CAMPAIGN	BS0210BN	Paused
NEW_SKU_CAMPAIGN	BS0210BR	Paused
NEW_SKU_CAMPAIGN	BS0210BS	Paused
NEW_SKU_CAMPAIGN	BS0210BV	Paused
NEW_SKU_CAMPAIGN	BS0245BP	Paused
NEW_SKU_CAMPAIGN	BS0245BY	Paused
NEW_SKU_CAMPAIGN	BS0245CA	Paused
NEW_SKU_CAMPAIGN	BS0245CB	Paused
NEW_SKU_CAMPAIGN	BS0245CC	Paused
NEW_SKU_CAMPAIGN	BS0245CD	Paused
NEW_SKU_CAMPAIGN	BS0245CE	Paused
NEW_SKU_CAMPAIGN	BS0245CF	Paused
NEW_SKU_CAMPAIGN	BS0245CG	Paused
NEW_SKU_CAMPAIGN	BS0245CH	Paused
NEW_SKU_CAMPAIGN	BS0245CI	Paused
NEW_SKU_CAMPAIGN	BS0245CJ	Paused
NEW_SKU_CAMPAIGN	BS0245CK	Paused
NEW_SKU_CAMPAIGN	BS0245CP	Paused
NEW_SKU_CAMPAIGN	BS0245CU	Paused
