SKU	QUANTITY TO LIST	DIS PRICE	SHIP PRICE	FREE SHIP SELL PRICE X 0.9	DAYS	LISTING TYPE
DC3002	1	32.95	10.4	40	Days_5	Auction
DC3003	1	32.95	10.4	40	Days_5	Auction
DC3004	1	33.95	10.4	40	Days_5	Auction
DC3007	1	30.95	10.4	38	Days_5	Auction
DG6863	1	18.95	10	27	Days_5	Auction
DJ0950	1	52.95	9.2	56	Days_5	Auction
DK1761	1	37.95	21.7	54	Days_5	Auction
DR0810RD	1	218.95	39.7	233	Days_5	Auction
DR5679	1	30.95	9.95	37	Days_5	Auction
DT9917	1	36.95	8.95	42	Days_5	Auction
EB0037OR	1	93.95	14.6	98	Days_5	Auction
EB0037PK	1	93.95	9.95	94	Days_5	Auction
EB0100	1	44.95	10.9	51	Days_5	Auction
EB0300	1	58.95	12	64	Days_5	Auction
EB0370BL	1	93.95	11.8	96	Days_5	Auction
EB0370DB	1	93.95	8.98	93	Days_5	Auction
EB0370NK	1	93.95	11.8	96	Days_5	Auction
EB0370OR	1	93.95	11.8	96	Days_5	Auction
EB8661	1	43.95	8.95	48	Days_5	Auction
EB8677	1	42.95	12.95	51	Days_5	Auction
EB8698	1	54.95	9	58	Days_5	Auction
EC8773	1	127.95	29.95	143	Days_5	Auction
EC8828	1	24.95	14.65	36	Days_5	Auction
EC8828BL	1	24.95	14.65	36	Days_5	Auction
ET6950	1	27.95	8.1	33	Days_5	Auction
EV4320BK	1	115.95	9	113	Days_5	Auction
EV4320RD	1	115.95	9	113	Days_5	Auction
EW0301	1	99.95	16.2	105	Days_5	Auction
FC9013	1	20.95	8.95	27	Days_5	Auction
FC9043	1	67.95	9.95	71	Days_5	Auction
FC9046	1	45.95	9.98	51	Days_5	Auction
FC9046YL	1	45.95	9.98	51	Days_5	Auction
FD0122KS	1	30.95	8.95	36	Days_5	Auction
FD0189	1	30.95	8.2	36	Days_5	Auction
FD3331	1	31.95	8.95	37	Days_5	Auction
FD9061	1	20.95	9.45	28	Days_5	Auction
FD9080	1	40.95	12.95	49	Days_5	Auction
FD9100	1	51.95	9.98	56	Days_5	Auction
FF0081	1	30.95	8	36	Days_5	Auction
FL0380	1	91.95	8.3	91	Days_5	Auction
FL8200	1	31.95	9.2	38	Days_5	Auction
FN0165	1	20.95	8.5	27	Days_5	Auction
FP1340GE	1	41.95	8.25	46	Days_5	Auction
FS0085X70	1	23.95	8.9	30	Days_5	Auction
FT0006BL	1	117.95	11.7	117	Days_5	Auction
G2165GR	1	59.95	13.6	67	Days_5	Auction
G3085GR	1	32.95	9.2	38	Days_5	Auction
G3085WT	1	33.95	9.2	39	Days_5	Auction
G3085YL	1	32.95	9.2	38	Days_5	Auction
GB8040	1	29.95	11.42	38	Days_5	Auction
GD9356	1	25.95	8.95	32	Days_5	Auction
GE9485	1	15.95	9.98	24	Days_5	Auction
GE9504	1	30.95	9.98	37	Days_5	Auction
GE9504BR	1	30.95	9.98	37	Days_5	Auction
GE9526	1	16.95	8.8	24	Days_5	Auction
GE9617SL	1	31.95	9.45	38	Days_5	Auction
GE9691	1	28.95	8.95	35	Days_5	Auction
GK2000	1	10.95	8.7	18	Days_5	Auction
GM3182	1	103.95	10.46	103	Days_5	Auction
GP0620RD	1	165.95	24.6	172	Days_5	Auction
GP2250	1	64.95	7.5	66	Days_5	Auction
GP2250OR	1	64.95	7.98	66	Days_5	Auction
GS0480RW	1	89.95	11.9	92	Days_5	Auction
GT2550	1	14.95	8.8	22	Days_5	Auction
GT8558	1	51.95	8.95	55	Days_5	Auction
HB0601RD	1	99.95	22.2	110	Days_5	Auction
HB1003	1	157.95	10.9	152	Days_5	Auction
HB1006	1	226.95	10.9	215	Days_5	Auction
