Item ID	Custom Label	Quantity Available	Purchases	Bids	Price	Start Date	End Date	Condition	Type	Item Title	Category Leaf Name	Category Number	Private Notes	Site Listed	Download Date	Variation Details	Product Reference ID	Condition ID	OutOfStockControl	LISTING TYPE (DELETE THIS COLUMN IF PERFORMING KERP IMPORT)
264153830138	TEE_MENS_BEER_MUG_BLK_L	2	0		19.95	21-Jan-19		Brand New	9	Beer Mug Schooner Alcohol Aussie Funny Joke Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,L] Style Men's Basic Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153830138	TEE_MENS_BEER_MUG_BLK_XL	2	0		19.95	21-Jan-19		Brand New	9	Beer Mug Schooner Alcohol Aussie Funny Joke Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,XL] Style Men's Basic Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264153830138	TEE_MENS_BEER_MUG_BLK_XXL	2	0		19.95	21-Jan-19		Brand New	9	Beer Mug Schooner Alcohol Aussie Funny Joke Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,2XL] Style Men's Basic Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264153830138	TEE_WOMENS_BEER_MUG_BLK_6	2	0		19.95	21-Jan-19		Brand New	9	Beer Mug Schooner Alcohol Aussie Funny Joke Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,6] Style Women's Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264153852780	VINYL_BEER_MUG_WHITE	2	0		8.99	21-Jan-19		Brand New	9	Beer Schooner Mug Logo Removable Vinyl Wall Window Sticker Decal 6 Colours 21cm[White] Colour White		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264153852780	VINYL_BEER_MUG_BLACK	2	0		8.99	21-Jan-19		Brand New	9	Beer Schooner Mug Logo Removable Vinyl Wall Window Sticker Decal 6 Colours 21cm[Black] Colour Black		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264153852780	VINYL_BEER_MUG_RED	2	0		8.99	21-Jan-19		Brand New	9	Beer Schooner Mug Logo Removable Vinyl Wall Window Sticker Decal 6 Colours 21cm[Red] Colour Red		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264153852780	VINYL_BEER_MUG_BLU	2	0		8.99	21-Jan-19		Brand New	9	Beer Schooner Mug Logo Removable Vinyl Wall Window Sticker Decal 6 Colours 21cm[Blue] Colour Blue		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264153852780	VINYL_BEER_MUG_YELLOW	2	0		8.99	21-Jan-19		Brand New	9	Beer Schooner Mug Logo Removable Vinyl Wall Window Sticker Decal 6 Colours 21cm[Yellow] Colour Yellow		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264153852780	VINYL_BEER_MUG_GREEN	2	0		8.99	21-Jan-19		Brand New	9	Beer Schooner Mug Logo Removable Vinyl Wall Window Sticker Decal 6 Colours 21cm[Green] Colour Green		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
263781978332	FREE_WIFI_COFFEE_WHITE	3	3		5.49	27-Jun-18		Brand New	9	FREE WIFI Coffee Cup Vinyl Sticker Decal for Store Shop Cafe Window Wi-Fi 145mm[White] Colour White		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
263781978332	FREE_WIFI_COFFEE_RED	2	0		5.49	27-Jun-18		Brand New	9	FREE WIFI Coffee Cup Vinyl Sticker Decal for Store Shop Cafe Window Wi-Fi 145mm[Red] Colour Red		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
263781978332	FREE_WIFI_COFFEE_BLUE	1	1		5.49	27-Jun-18		Brand New	9	FREE WIFI Coffee Cup Vinyl Sticker Decal for Store Shop Cafe Window Wi-Fi 145mm[Blue] Colour Blue		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
263781978332	FREE_WIFI_COFFEE_YELLOW	2	2		5.49	27-Jun-18		Brand New	9	FREE WIFI Coffee Cup Vinyl Sticker Decal for Store Shop Cafe Window Wi-Fi 145mm[Yellow] Colour Yellow		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264060176675	TEE_MENS_FREE_ASSANGE_BLK_M	2	0		19.95	26-Nov-18		Brand New	9	Free Julian Assange Wikileaks Political Media Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,M] Style Men's Basic Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264060176675	TEE_MENS_FREE_ASSANGE_BLK_L	1	1		19.95	26-Nov-18		Brand New	9	Free Julian Assange Wikileaks Political Media Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,L] Style Men's Basic Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264060176675	TEE_MENS_FREE_ASSANGE_BLK_XL	2	0		19.95	26-Nov-18		Brand New	9	Free Julian Assange Wikileaks Political Media Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,XL] Style Men's Basic Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264060176675	TEE_MENS_FREE_ASSANGE_BLK_XXL	5	2		19.95	26-Nov-18		Brand New	9	Free Julian Assange Wikileaks Political Media Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,2XL] Style Men's Basic Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
